 ~9C785E ,A915CC ,N685AB , Thu Mar 18 18:46:18 2021
 ~9DE5F0 ,424B61 ,M-YNNS , Sun Feb 28 14:24:36 2021
 ~9E24F1 ,449825 ,OO-FAE , Mon Feb 22 14:29:45 2021
 ~9E24F1 ,449825 ,OO-FAE , Mon Feb 22 15:48:36 2021
 ~9E3289 ,A13F5E ,N18LS , Sun Feb 28 19:34:43 2021
 ~9E3289 ,A13F5E ,N18LS , Sun Feb 28 19:46:15 2021
 ~9E3289 ,A13F5E ,N18LS , Wed Mar  3 11:01:58 2021
 ~9FDC1E ,449825 ,OO-FAE , Wed Feb 10 14:47:10 2021
 ~A2EFE4 ,C0288A ,C-FPJD , Tue Mar 23 12:08:36 2021
 ~A5614A ,424B89 ,M-ARIA , Fri Feb 12 08:32:09 2021
 ~A5A998 ,43EA3A ,M-ARIE , Tue Feb 23 11:33:40 2021
 ~AD6492 ,40016C ,VP-BEL , Fri Feb 26 13:28:05 2021
 ~B25E14 ,407757 ,G-OUEG , Mon Mar  1 09:20:53 2021
 ~B2C34E ,A2DE24 ,N284PH , Mon Mar 22 18:17:42 2021
 ~B38D46 ,45BA06 ,OY-NPF , Fri Feb 12 13:47:23 2021
 ~B4D114 ,AC643B ,N898NC , Sat Mar  6 10:42:10 2021
 ~B7C7D2 ,43EAE9 ,M-ATEX , Wed Feb 24 16:35:17 2021
 ~BC00DE ,A79BF6 ,N59KG , Mon Mar  8 09:14:20 2021
 ~BCD7C0 ,AD8523 ,N970RG , Sat Mar 13 05:17:58 2021
 ~BD6EFB ,A54E6A ,N441AX , Wed Mar 17 13:37:45 2021
 ~C0AC84 ,463AFE ,OH-WIW , Tue Mar 16 12:39:52 2021
 ~C0AC84 ,463AFE ,OH-WIW , Tue Mar 16 15:13:02 2021
 ~C34B2F ,A89192 ,N651MP , Sun Mar 14 06:46:41 2021
 ~C34B2F ,A89192 ,N651MP , Wed Mar 17 14:59:49 2021
 ~C7094F ,43EBCD ,2-DARE , Thu Mar 25 06:44:45 2021
 ~CA74E7 ,49120C ,CS-DPL , Sat Mar 20 06:17:37 2021
 ~CA7B76 ,4068F0 ,G-JAGA , Wed Feb 17 12:58:24 2021
 ~CADB41 ,4D2296 ,9H-VBG , Fri Mar 12 07:27:04 2021
 ~CADB41 ,4D2296 ,9H-VBG , Mon Mar  8 15:09:48 2021
 ~CB302C ,424B5C ,M-VLCC , Thu Feb 25 13:33:58 2021
 ~CB302C ,424B5C ,M-VLCC , Thu Feb 25 14:13:35 2021
 ~CB9E3F ,4064DB ,G-LEGC , Mon Mar 15 14:35:20 2021
 ~CCFE13 ,4243EA ,VQ-BSF , Fri Mar 19 02:05:03 2021
 ~CE51FA ,AAE2A5 ,N800J , Fri Mar 19 20:40:49 2021
 ~CFAD0E ,A87B8F ,N646AK , Thu Mar 11 20:07:14 2021
 ~D333E1 ,AAE2A5 ,N800J , Tue Mar  2 05:07:36 2021
 ~D333E1 ,AAE2A5 ,N800J , Tue Mar  2 19:56:14 2021
 ~D7B669 ,A2A270 ,N269WR , Wed Mar  3 15:18:38 2021
 ~D880FB ,4075D3 ,G-SPTX , Mon Mar  1 13:25:08 2021
 ~DA44E8 ,A0F2AC ,N160LD , Sun Mar  7 06:46:17 2021
 ~DAEAAC ,A506DA ,N423AX , Fri Feb 12 19:26:27 2021
 ~DC71C3 ,AC3B9D ,N888AR , Wed Feb 10 19:47:01 2021
 ~DDBC15 ,45D92B ,OY-VIK , Fri Mar  5 11:26:49 2021
 ~DDDB0E ,4911E6 ,CS-DOF , Wed Feb 10 21:50:37 2021
 ~DF27D5 ,424405 ,VQ-BEB , Fri Mar  5 08:15:33 2021
 ~DF27D5 ,424405 ,VQ-BEB , Sat Mar  6 17:12:51 2021
 ~DFB434 ,ACB94B ,N919NE , Sun Feb 14 10:11:31 2021
 ~E19F0A ,4D020B ,LX-VIP , Mon Mar 15 20:32:32 2021
 ~E2D3B8 ,4B198E ,HB-JRQ , Tue Mar  9 16:44:25 2021
 ~E3B9B8 ,406870 ,G-DMNG , Tue Mar 16 09:23:45 2021
 ~E4148B ,4B9EC2 ,TC-GVB , Fri Feb 26 00:05:30 2021
 ~E539F7 ,3C942D ,D-BEAM , Sun Mar 21 15:43:48 2021
 ~E5E411 ,AA90C8 ,N780CR , Tue Mar  2 07:38:22 2021
 ~E70AE9 ,A4AD69 ,N400J , Sat Mar 20 16:26:35 2021
 ~E84EBC ,A788DB ,N585DW , Tue Mar  2 04:50:28 2021
 ~E84EBC ,A788DB ,N585DW , Tue Mar  2 05:16:07 2021
 ~E84EBC ,A788DB ,N585DW , Tue Mar  2 10:27:29 2021
 ~E9B0B1 ,43EACC ,M-LLMW , Mon Mar  8 08:37:44 2021
 ~EA1E7D ,40753B ,G-OOEG , Mon Mar  1 13:33:42 2021
 ~EB01E9 ,3CD52E ,D-CIAO , Fri Mar 19 10:27:34 2021
 ~EC201B ,C07F7C ,C-GWHF , Wed Mar 24 06:45:55 2021
 ~EC8F1B ,A2EDF2 ,N288Z , Tue Mar 23 17:14:46 2021
 ~ED78B5 ,45CD6B ,OY-SKK , Wed Mar 24 07:05:47 2021
 ~EDC42A ,A54E6A ,N441AX , Tue Mar  2 21:25:38 2021
 ~EDC42A ,A54E6A ,N441AX , Tue Mar  2 21:53:30 2021
 ~EEBACD ,407343 ,G-SGSG , Mon Mar  1 11:32:05 2021
 ~EEBACD ,42429A ,VP-BDD , Mon Mar  1 11:32:05 2021
 ~F1D08F ,43EAE1 ,M-ETAL , Tue Mar  2 09:20:32 2021
 ~F2132B ,A95306 ,N70JJ , Sun Mar 21 13:57:24 2021
 ~F3DEBE ,4B15CA ,HB-IGO , Wed Mar 24 12:07:33 2021
 ~FCDD13 ,3C00AF ,D-APGS , Sat Mar  6 04:44:54 2021
 ~FE24D2 ,4066C5 ,G-CHAG , Tue Feb 23 11:25:04 2021
 ~FE24D2 ,406DE8 ,G-MCGS , Tue Feb 23 11:25:04 2021
 ~FE24D2 ,43C326 ,ZH860 , Tue Feb 23 11:25:04 2021
